n 120
m 1
tmax 5.251249
0.762382 0.678585 6
0.874978 0.569099 9
0.514890 0.007166 8
0.527218 0.164353 2
0.032717 0.993145 8
0.230702 0.624073 9
0.140562 0.821908 7
0.264043 0.254969 5
0.346797 0.955854 1
0.247397 0.757280 9
0.936345 0.969515 2
0.068792 0.074745 5
0.358755 0.064524 8
0.203965 0.562135 6
0.597435 0.574923 10
0.706318 0.228249 3
0.282751 0.712438 9
0.690649 0.972624 8
0.874711 0.215119 10
0.274444 0.356932 7
0.057175 0.790046 6
0.258225 0.987415 8
0.220959 0.855404 8
0.555022 0.805392 1
0.624765 0.341561 3
0.946322 0.961129 3
0.139319 0.559719 10
0.436454 0.485057 10
0.675161 0.540198 7
0.354411 0.224269 3
0.570290 0.778326 8
0.780646 0.961450 5
0.041885 0.215129 4
0.518207 0.585518 4
0.415574 0.424554 8
0.070784 0.457633 9
0.415218 0.674706 6
0.570305 0.960571 10
0.115363 0.871548 6
0.247525 0.029001 10
0.265365 0.827930 2
0.295147 0.111828 6
0.619085 0.170154 1
0.576554 0.003364 1
0.377501 0.616027 6
0.020178 0.091657 7
0.190665 0.837515 1
0.656963 0.707739 7
0.133532 0.785602 5
0.514126 0.381819 6
0.968399 0.580659 8
0.162725 0.461175 9
0.422422 0.877776 3
0.894679 0.082609 2
0.818266 0.797405 2
0.891563 0.494864 2
0.811178 0.479598 7
0.486136 0.584927 5
0.304918 0.834063 1
0.445399 0.987939 5
0.643894 0.628706 3
0.893632 0.696038 10
0.113902 0.524430 4
0.545394 0.209733 6
0.864091 0.909507 7
0.206941 0.934196 6
0.134187 0.755923 10
0.077114 0.100239 1
0.349179 0.169136 6
0.996532 0.561952 1
0.189688 0.333045 2
0.586711 0.530778 2
0.356620 0.385778 2
0.712615 0.186101 9
0.873655 0.742044 6
0.843787 0.121995 6
0.592428 0.644680 10
0.385565 0.591015 7
0.504138 0.610607 1
0.594013 0.432787 8
0.266053 0.861322 10
0.908139 0.944036 6
0.119419 0.640049 8
0.040921 0.119113 7
0.180405 0.169648 5
0.679822 0.233387 2
0.313003 0.968028 3
0.718962 0.575818 1
0.075750 0.990274 8
0.595550 0.851933 6
0.041386 0.378456 4
0.005988 0.921319 2
0.636464 0.218530 6
0.465957 0.416129 7
0.284732 0.149194 7
0.036042 0.436413 2
0.218747 0.974326 1
0.496099 0.396934 10
0.183681 0.257267 9
0.834422 0.647564 8
0.018326 0.557886 6
0.954120 0.265790 4
0.771220 0.783176 2
0.582461 0.649504 4
0.546799 0.750824 3
0.757934 0.146193 2
0.864070 0.816340 2
0.730898 0.702541 1
0.912353 0.076941 4
0.450470 0.822094 3
0.951195 0.304412 6
0.853427 0.838636 8
0.307986 0.329647 7
0.185292 0.549515 2
0.383212 0.157973 2
0.755334 0.387583 6
0.921873 0.974928 7
0.009963 0.222416 10
0.464897 0.941926 7
0.102925 0.671110 9
