n 150
m 1
tmax 5.289374
0.768374 0.383288 3
0.906414 0.811277 7
0.614379 0.383989 2
0.452594 0.028804 6
0.050513 0.122079 9
0.421675 0.949781 7
0.252471 0.563932 4
0.462796 0.431155 8
0.182964 0.567760 3
0.559395 0.527628 8
0.309469 0.817109 2
0.726572 0.977062 9
0.049333 0.151954 8
0.484115 0.144564 9
0.537369 0.043340 8
0.874986 0.053719 6
0.938400 0.777467 2
0.404370 0.166491 6
0.282239 0.351937 3
0.230197 0.294385 7
0.887633 0.483485 8
0.534381 0.749356 2
0.307068 0.281768 8
0.520812 0.920515 3
0.642712 0.576082 3
0.692351 0.678237 5
0.584975 0.258913 4
0.599497 0.678449 7
0.610199 0.965963 5
0.357166 0.515426 10
0.674299 0.206623 3
0.527645 0.242420 8
0.060297 0.101800 3
0.860331 0.186387 7
0.677246 0.588848 6
0.851579 0.781009 10
0.647616 0.538952 2
0.492062 0.904615 1
0.546067 0.405446 4
0.840342 0.363028 8
0.623458 0.864685 6
0.953019 0.534186 8
0.864343 0.177614 3
0.085792 0.734986 2
0.014430 0.335737 1
0.243774 0.554649 2
0.508448 0.928491 2
0.807994 0.154940 7
0.006872 0.676135 6
0.155211 0.572583 3
0.381881 0.094979 5
0.170311 0.707923 1
0.413129 0.010659 8
0.939225 0.348330 4
0.926447 0.144051 3
0.987282 0.818092 7
0.529274 0.968075 1
0.264358 0.133012 8
0.443308 0.044611 5
0.980976 0.436755 9
0.576876 0.208043 4
0.167500 0.611078 2
0.056451 0.405537 1
0.833175 0.217577 3
0.207276 0.651180 4
0.820935 0.754244 3
0.467896 0.835726 9
0.544359 0.094402 9
0.770694 0.160008 7
0.826810 0.707382 4
0.920620 0.402707 4
0.609889 0.992864 8
0.390781 0.873269 6
0.243734 0.850421 8
0.573699 0.312871 9
0.709929 0.878731 4
0.894512 0.882822 1
0.276963 0.274484 10
0.932965 0.028189 5
0.326757 0.666602 9
0.315425 0.172769 3
0.518782 0.821673 1
0.135652 0.238273 7
0.968087 0.103658 9
0.857558 0.295113 6
0.102472 0.046638 10
0.794480 0.413139 10
0.515402 0.670139 9
0.761466 0.358919 4
0.257192 0.253849 4
0.135869 0.190671 7
0.636300 0.226969 7
0.161021 0.882915 6
0.920162 0.035621 10
0.966429 0.062507 7
0.907503 0.358986 8
0.883911 0.991658 10
0.755769 0.636796 7
0.784094 0.758476 6
0.310706 0.297297 6
0.374392 0.320059 9
0.123195 0.994837 8
0.801016 0.810964 8
0.712221 0.145689 7
0.022028 0.673268 2
0.710200 0.069876 3
0.111784 0.969990 3
0.294094 0.867435 10
0.156245 0.238980 5
0.230601 0.189604 1
0.879222 0.598807 5
0.628563 0.075256 7
0.144006 0.328197 2
0.925211 0.940430 1
0.948130 0.258497 5
0.683817 0.154543 10
0.568525 0.018373 5
0.362216 0.449974 10
0.226680 0.827824 7
0.454924 0.175627 4
0.230595 0.815747 5
0.337435 0.047598 5
0.306930 0.753831 9
0.473290 0.702520 10
0.856834 0.554338 4
0.182601 0.615954 10
0.024730 0.613257 8
0.239592 0.284773 5
0.638174 0.135604 6
0.516732 0.623662 4
0.339957 0.804677 3
0.266965 0.037245 9
0.463439 0.256477 10
0.341348 0.611639 7
0.386483 0.316024 4
0.678272 0.592161 8
0.312123 0.385910 8
0.813509 0.091831 5
0.331034 0.667192 1
0.219488 0.099148 1
0.110692 0.514946 4
0.631123 0.685675 1
0.122967 0.785734 9
0.860966 0.943774 6
0.726280 0.870823 8
0.483877 0.962924 2
0.206424 0.365572 3
0.964054 0.013791 10
0.188260 0.600651 2
0.863126 0.757462 10
