n 800
m 1
tmax 15.800481
0.479891 0.734755 0
0.597909 0.000608 3
0.757422 0.052896 5
0.836772 0.000000 7
0.495736 0.000000 4
0.079763 0.198345 2
0.155175 0.329764 2
0.175680 0.006953 10
0.268626 0.040205 7
0.209901 0.148024 1
0.404197 0.370366 7
0.474802 0.475958 3
0.738336 0.813362 2
0.695119 0.157490 8
0.462990 1.000000 4
0.096038 0.596072 8
0.117746 0.224503 4
1.000000 0.653184 4
0.366281 0.817495 8
0.828583 0.570093 2
0.719409 0.103728 3
0.697629 0.044058 10
0.342742 0.165580 9
0.188119 0.344512 3
0.260954 0.362153 2
0.058689 0.160114 3
0.501977 0.042870 7
0.263714 0.000000 7
0.428325 0.434904 1
0.139612 0.314071 5
0.809928 0.746589 2
0.417544 0.353676 7
0.722028 0.687445 1
0.128593 0.293240 10
0.272194 0.342515 1
0.734880 1.000000 1
0.665431 0.525429 4
0.507247 0.208304 3
0.441338 0.000000 3
0.793409 0.000000 10
0.326725 0.065332 1
0.103657 0.180048 2
0.454689 0.385271 7
0.276263 0.186050 1
0.339858 0.405267 10
0.000000 0.147199 3
0.225973 0.715845 1
0.300533 0.199489 9
0.556379 0.819268 10
0.762664 0.081274 9
0.631502 0.742317 1
0.100023 0.706698 5
0.442587 0.463824 1
0.692884 0.574657 7
0.424418 0.215138 10
0.686420 0.146827 3
0.670884 0.167911 9
0.710638 0.520512 8
0.478794 0.283863 10
0.142494 0.270288 9
0.100901 0.444589 7
0.289851 0.091661 5
0.296766 0.194659 6
0.537022 0.000000 3
0.399569 0.589668 4
0.364147 0.164874 4
0.773084 0.922320 3
0.465410 0.244870 9
0.737470 0.967049 1
0.103421 0.637838 8
0.302350 0.210154 1
1.000000 0.635145 7
0.398578 0.490833 1
0.719049 0.459698 2
0.836410 0.000000 6
1.000000 0.124723 2
0.463509 0.053261 4
0.000000 0.372085 2
0.127496 0.475284 9
0.336498 0.113448 9
0.304627 0.427325 4
0.264470 0.274863 10
0.386299 0.536675 1
0.259914 0.435997 9
0.730483 0.618087 10
0.693407 0.443677 10
0.628739 0.972489 4
0.137088 0.523005 1
0.514253 0.121788 6
0.890673 1.000000 5
0.477850 0.147995 7
0.507564 0.410954 9
0.408076 0.000000 10
0.806619 0.364360 9
0.250132 0.151097 1
0.101754 0.587867 5
0.084506 0.524264 1
0.227108 0.195027 5
0.631605 0.070139 5
0.199917 0.042605 7
0.372344 0.751082 10
0.090472 0.546542 10
0.826813 0.727157 3
0.356157 0.232140 1
0.477618 0.595306 7
0.409604 0.460952 9
0.231627 0.000000 4
0.789365 0.776348 7
0.561639 0.690074 9
0.730240 0.418601 5
0.989257 0.000000 4
0.670192 0.329874 7
0.048139 0.015746 6
0.261990 0.103615 8
0.435855 0.304425 2
0.557004 0.402248 10
0.382051 0.261819 1
0.118339 0.241820 6
0.309948 0.552705 7
0.377625 0.488759 4
0.802689 0.672131 4
0.728468 0.303809 1
0.945643 0.899257 2
0.194074 0.382346 5
0.374336 0.209422 7
0.824647 0.537661 3
0.590528 0.553135 6
0.972681 0.785344 7
0.568876 0.000000 2
0.827080 0.233315 4
0.368332 0.120126 6
0.000000 0.322886 4
0.086070 0.483408 8
0.195509 0.450316 3
0.409024 0.358559 2
0.000000 0.009823 4
0.291944 0.617973 5
0.403963 0.384708 4
0.892683 0.953893 6
0.534548 0.422791 8
0.668595 0.773860 1
0.323900 0.477049 6
0.276189 0.272594 9
0.739328 0.847878 1
0.277821 0.544003 3
0.883729 0.222021 2
0.716577 0.188653 9
0.676065 0.187859 10
0.136353 0.000000 9
0.000000 0.108282 2
0.046364 0.425703 7
0.316722 0.305881 3
0.388399 0.100012 6
0.278949 0.146684 6
