n 300
m 1
tmax 11.272856
0.366589 0.431359 9
0.518020 0.844886 2
0.208912 0.982045 9
0.952764 0.799251 8
0.066363 0.982849 10
0.114862 0.582049 8
0.770119 0.788445 6
0.476177 0.390822 1
0.607903 0.183945 10
0.296833 0.706325 4
0.345345 0.877129 7
0.737501 0.992846 2
0.524114 0.005512 6
0.479587 0.332799 10
0.680116 0.409709 3
0.722311 0.312411 7
0.351528 0.784125 7
0.637094 0.849098 9
0.547638 0.499426 2
0.735241 0.575314 9
0.026646 0.910273 2
0.049515 0.489343 5
0.682548 0.072784 6
0.506957 0.067106 2
0.238768 0.764787 7
0.613397 0.822313 5
0.968536 0.094201 4
0.503904 0.457829 5
0.633413 0.225721 5
0.482920 0.940792 9
0.358099 0.492779 3
0.573620 0.678796 1
0.041139 0.479457 8
0.491168 0.222292 10
0.308327 0.703562 9
0.969748 0.760542 1
0.879471 0.469693 8
0.728894 0.167652 7
0.121530 0.305477 1
0.980301 0.012376 5
0.735094 0.661241 7
0.974418 0.828954 1
0.863395 0.743356 9
0.591371 0.724368 8
0.162981 0.250539 5
0.126743 0.524699 1
0.881495 0.079373 3
0.022353 0.269840 4
0.269473 0.788887 6
0.353949 0.399774 1
0.773525 0.411165 3
0.607371 0.392237 5
0.742530 0.665736 6
0.164198 0.397371 10
0.362346 0.336795 1
0.486908 0.746878 8
0.094402 0.730695 3
0.531156 0.106506 10
0.540056 0.587131 6
0.422516 0.907458 9
0.569206 0.210982 3
0.689240 0.724998 10
0.661450 0.192488 10
0.590821 0.862745 4
0.931130 0.735776 8
0.208940 0.380007 5
0.407967 0.737566 2
0.954887 0.518597 9
0.919371 0.744901 4
0.920221 0.637698 5
0.333561 0.969318 8
0.623140 0.943703 1
0.019977 0.676853 2
0.974555 0.014021 3
0.259719 0.101655 10
0.867122 0.945583 10
0.052457 0.573533 10
0.132636 0.304086 2
0.758954 0.047658 6
0.254243 0.947589 5
0.815910 0.592262 2
0.298032 0.893421 6
0.053241 0.667244 2
0.945343 0.424458 2
0.574769 0.280581 9
0.295601 0.027235 4
0.545356 0.095583 4
0.017671 0.766830 2
0.363679 0.797114 6
0.497965 0.313001 8
0.180229 0.770511 4
0.970857 0.393450 1
0.805806 0.805222 4
0.177215 0.770575 7
0.168023 0.471561 9
0.503895 0.434975 4
0.222792 0.322779 7
0.784747 0.835091 10
0.549463 0.526628 5
0.207556 0.110844 6
0.043192 0.131479 2
0.593101 0.588316 2
0.783328 0.774868 6
0.709794 0.215961 7
0.148777 0.852991 2
0.714506 0.981812 5
0.305378 0.744143 4
0.216819 0.449468 1
0.699539 0.425402 2
0.087238 0.412371 5
0.936745 0.319632 8
0.900661 0.053306 1
0.251529 0.705494 8
0.422891 0.510856 5
0.774232 0.861937 2
0.009955 0.256887 1
0.424684 0.729054 1
0.349741 0.481499 3
0.752018 0.117309 7
0.874020 0.168605 4
0.242369 0.452374 10
0.829263 0.659541 10
0.928978 0.535323 7
0.475503 0.691929 6
0.377952 0.858638 2
0.335533 0.211075 6
0.680450 0.496482 4
0.502038 0.596463 5
0.039376 0.526256 10
0.016018 0.375126 8
0.335027 0.453982 4
0.012549 0.228994 7
0.427498 0.264209 9
0.309453 0.615548 9
0.638465 0.550422 10
