n 200
m 1
tmax 16.000000
0.626937 0.892764 10
0.798596 0.583472 10
0.603112 0.955307 7
0.852809 0.358773 10
0.593441 0.926595 6
0.864861 0.451021 5
0.608059 1.000000 9
0.802795 0.410118 5
0.549725 0.914792 7
0.836740 0.405352 9
0.604391 0.875052 9
0.880262 0.335900 10
0.703767 1.000000 6
0.856563 0.334989 7
0.708117 0.849524 5
0.812148 0.394141 7
0.643500 0.863480 10
0.770892 0.379488 1
0.627732 0.946464 9
0.824069 0.454234 4
0.562299 0.887184 10
0.779840 0.275091 9
0.551949 1.000000 8
0.839713 0.358345 3
0.632732 0.893510 5
0.878406 0.497670 8
0.754999 0.944067 10
0.767265 0.439843 1
0.580026 1.000000 1
0.821788 0.405970 8
0.613229 0.882050 4
0.851775 0.453251 8
0.561410 0.928025 5
0.750439 0.380643 2
0.627577 0.917969 1
0.862337 0.383266 6
0.699112 0.908114 7
0.824394 0.432598 4
0.673350 0.845225 1
0.738682 0.445313 10
0.631444 0.906783 7
0.833722 0.324389 6
0.585108 0.870061 2
0.822298 0.424285 6
0.584944 0.928558 9
0.809349 0.415406 2
0.594114 1.000000 10
0.666538 0.332055 6
0.614472 0.917728 9
0.833631 0.451531 3
0.658546 0.998575 10
0.902262 0.409224 10
0.575476 0.845793 3
0.793914 0.373294 3
0.634059 0.952079 7
0.780587 0.528860 8
0.656192 0.820100 3
0.806692 0.373544 5
0.580570 0.957955 3
0.817357 0.393930 10
0.678455 0.857819 8
0.779245 0.467199 2
0.617701 0.808839 2
0.907140 0.317529 6
0.544624 0.967349 2
0.927631 0.436795 3
0.560438 0.830249 9
0.794571 0.346228 5
0.599441 0.940247 2
0.852661 0.437280 2
0.574194 0.902289 3
0.865653 0.355532 7
0.646434 0.825247 6
0.848353 0.414270 5
0.539152 0.708963 2
0.914974 0.452341 9
0.557345 0.980635 4
0.814303 0.328999 8
0.531342 0.905728 3
0.804542 0.425233 3
0.642976 0.893977 6
0.781511 0.424095 8
0.558452 0.863656 2
0.798635 0.463785 6
0.667698 0.891915 8
0.721784 0.430638 3
0.695253 0.924194 2
0.879644 0.310159 4
0.765318 0.903738 10
0.934131 0.335145 3
0.613726 0.849015 9
0.848504 0.457484 3
0.613210 0.861436 1
0.781240 0.431296 8
0.624777 0.864002 3
0.877144 0.405292 2
0.744411 0.985545 6
0.731487 0.354625 8
0.586257 0.924546 8
0.821071 0.307114 10
0.637716 0.951649 7
0.787934 0.443725 6
0.590850 0.943445 8
0.808584 0.352235 7
0.642144 0.809212 8
0.799399 0.372616 6
0.682920 0.939225 3
0.838367 0.506993 6
0.667261 0.968939 1
0.816834 0.394406 10
0.629030 0.897622 9
0.785894 0.416036 7
0.675682 0.998735 5
0.836557 0.390989 3
0.662426 0.906182 3
0.893391 0.358058 9
0.648016 0.891840 4
0.919081 0.414886 3
0.595370 0.885757 7
0.777177 0.380982 8
0.654911 0.776490 4
0.778087 0.422304 9
0.683800 0.938825 2
0.871979 0.361084 7
0.669998 0.943776 4
0.805932 0.318127 3
0.617385 0.930072 2
0.810388 0.331806 9
0.526752 0.883847 9
0.869263 0.360411 6
0.683044 0.853161 8
0.745921 0.500301 3
0.509188 0.823634 10
0.871524 0.437315 10
0.697020 0.958067 3
0.812467 0.333710 4
0.724870 0.898887 1
0.820202 0.465573 4
0.559626 0.926670 5
0.805277 0.355991 9
0.545343 0.920106 1
0.801557 0.434331 10
0.654933 0.917178 8
0.983771 0.469743 1
0.733988 0.741305 2
0.807662 0.333876 5
0.659154 0.935414 9
0.891655 0.499508 6
0.740665 0.810976 9
0.719104 0.426029 9
0.627871 0.990365 8
0.780538 0.455648 10
0.704697 0.904429 1
0.872527 0.469683 7
0.577423 0.831924 4
0.782055 0.448648 1
0.595225 0.924390 5
0.770580 0.438176 7
0.621552 0.789174 1
0.863277 0.348011 3
0.626876 0.950284 4
0.740503 0.413404 8
0.598517 0.933684 9
0.757157 0.461156 2
0.767337 0.940188 4
0.815745 0.323223 1
0.643071 0.857118 3
0.829670 0.455091 7
0.606379 0.779809 7
0.793339 0.449287 3
0.504687 0.875072 6
0.816384 0.458874 2
0.677970 0.899087 9
0.800530 0.385362 5
0.703381 0.874133 9
0.782111 0.470256 2
0.598984 0.894167 10
0.737833 0.442969 3
0.582889 0.953444 9
0.838383 0.436658 7
0.633036 0.938014 3
0.861954 0.436701 10
0.555448 0.937540 7
0.746716 0.459939 10
0.626683 1.000000 7
0.705295 0.405571 4
0.646443 1.000000 8
0.879494 0.450330 4
0.649826 0.852381 3
0.754297 0.407796 9
0.687667 0.919128 1
0.845472 0.353748 10
0.563233 0.887523 6
0.864824 0.352439 2
0.561205 0.989655 1
0.769584 0.385772 7
0.611597 0.875702 2
0.822395 0.411569 7
0.729274 0.973950 8
0.802088 0.422414 5
