n 150
m 1
tmax 5.183041
0.205016 0.502449 3
0.481148 0.173002 2
0.548455 0.922845 1
0.703843 0.263721 1
0.174323 0.174564 6
0.931793 0.259179 2
0.789202 0.573739 2
0.761924 0.893889 3
0.012088 0.380892 3
0.246143 0.529774 3
0.938378 0.202797 2
0.103981 0.018939 7
0.343786 0.911110 1
0.943367 0.979757 1
0.405524 0.785289 1
0.207938 0.660835 1
0.343797 0.800891 3
0.217605 0.182800 0
0.425263 0.984525 1
0.938739 0.984699 1
0.546177 0.543001 0
0.076258 0.146632 4
0.412269 0.062578 3
0.025002 0.532036 3
0.122476 0.271453 0
0.372692 0.173301 3
0.002469 0.186461 4
0.406561 0.414040 1
0.505626 0.827534 0
0.476040 0.407991 0
0.575338 0.599632 2
0.787354 0.066240 1
0.821209 0.033325 6
0.276322 0.963917 3
0.591474 0.070668 3
0.411333 0.390207 3
0.327884 0.669295 3
0.166523 0.443928 2
0.246711 0.288788 3
0.305588 0.293697 2
0.143429 0.063844 6
0.083850 0.977313 2
0.720360 0.716800 6
0.680002 0.603754 7
0.358325 0.864499 3
0.493223 0.265920 1
0.997501 0.276511 3
0.242727 0.925320 1
0.620754 0.297376 3
0.532351 0.424530 1
0.554441 0.955620 0
0.218798 0.896932 2
0.234041 0.880903 3
0.976157 0.911482 1
0.254866 0.192089 1
0.057022 0.935591 1
0.679895 0.199232 3
0.476032 0.470884 0
0.007269 0.242978 6
0.273001 0.533351 3
0.348102 0.449982 1
0.973728 0.781336 2
0.251123 0.105154 0
0.133484 0.615974 0
0.544031 0.098919 0
0.940898 0.825579 1
0.333426 0.124118 0
0.004278 0.286150 2
0.696030 0.933259 1
0.998925 0.611226 0
0.597330 0.571443 0
0.620020 0.411855 3
0.686013 0.182950 0
0.139073 0.488504 0
0.849875 0.128990 0
0.312190 0.549626 1
0.388531 0.126921 3
0.902618 0.108485 6
0.554699 0.475634 0
0.063194 0.225241 5
0.948434 0.861662 3
0.321100 0.791371 2
0.011789 0.107825 7
0.367787 0.673429 2
0.921357 0.337569 3
0.872711 0.554485 3
0.228810 0.818866 2
0.785810 0.757660 7
0.622771 0.548586 1
0.217229 0.555781 1
0.036643 0.812744 0
0.044083 0.127968 5
0.033060 0.009628 4
0.486691 0.941212 2
0.465840 0.243261 1
0.250758 0.710595 3
0.887696 0.015967 4
0.065670 0.246453 6
0.313282 0.979989 2
0.106408 0.854120 1
0.903943 0.024480 4
0.819812 0.196474 1
0.594237 0.465449 2
0.868358 0.185413 0
0.677610 0.705950 7
0.877473 0.479953 0
0.235701 0.313080 1
0.388615 0.890316 3
0.650705 0.830576 6
0.868460 0.850012 3
0.670287 0.641697 5
0.792311 0.357393 0
0.666979 0.063764 1
0.143342 0.168272 7
0.967495 0.034091 6
0.271509 0.598466 0
0.633544 0.989828 2
0.364617 0.272335 1
0.979482 0.664370 2
0.575231 0.014694 1
0.663308 0.778632 6
0.010298 0.398813 0
0.635894 0.426751 2
0.031541 0.480014 2
0.920516 0.243749 1
0.855586 0.904118 1
0.974853 0.978350 3
0.286406 0.664816 1
0.485850 0.451776 0
0.727306 0.294446 0
0.364678 0.705678 0
0.799995 0.338438 1
0.192259 0.806983 0
0.547971 0.290401 1
0.040876 0.794099 3
0.140707 0.367573 3
0.021785 0.426476 0
0.944999 0.917522 0
0.005625 0.087543 5
0.120487 0.997622 2
0.228296 0.273187 1
0.965289 0.879841 2
0.378494 0.689858 3
0.415821 0.960177 1
0.555753 0.282568 3
0.455123 0.086172 0
0.982468 0.082382 7
0.935158 0.585501 2
0.992239 0.133714 5
0.813867 0.165841 0
