n 250
m 1
tmax 30.000000
0.071349 0.955048 3
0.787030 0.014717 3
0.861989 0.857890 3
0.002709 0.767205 2
0.000000 0.240463 2
0.167173 1.000000 2
0.816633 0.061945 3
1.000000 0.905302 1
0.123733 0.942357 1
0.000000 0.167177 2
0.000000 0.872935 3
0.938421 0.026218 10
0.818897 0.757203 3
0.000000 0.757717 2
0.098362 0.451340 1
0.191735 0.761024 3
0.698257 0.270589 3
0.955720 0.932696 1
0.133679 0.583652 3
0.060752 0.356269 1
0.220840 1.000000 1
0.845363 0.179494 1
0.797483 0.992045 3
0.134987 0.793034 2
0.060062 0.366222 3
0.049979 1.000000 3
0.917382 0.000000 9
0.839119 0.841400 3
0.136228 0.906064 2
0.041195 0.382016 1
0.142716 0.840182 3
0.865643 0.139965 3
1.000000 0.867193 2
0.160987 0.995356 3
0.000000 0.372087 2
0.133739 1.000000 2
1.000000 0.244740 2
0.923686 0.928070 2
0.010785 0.828593 1
0.000000 0.346454 1
0.003082 1.000000 1
0.856025 0.240025 2
0.850198 0.854310 1
0.031968 0.886787 1
0.047901 0.303276 3
0.293010 0.906090 1
1.000000 0.132403 11
1.000000 1.000000 2
0.368461 1.000000 2
0.008641 0.484257 3
0.374871 1.000000 1
0.782543 0.031535 2
0.844583 0.922623 3
0.248548 0.879466 1
0.000000 0.261250 1
0.206053 0.891619 2
0.793800 0.327342 2
1.000000 0.951849 1
0.000000 0.829376 1
0.021164 0.190726 1
0.411038 1.000000 3
0.934815 0.245652 1
1.000000 0.734519 3
0.191647 0.943393 3
0.000000 0.354847 3
0.000000 1.000000 2
0.900877 0.000000 11
0.813569 1.000000 3
0.233077 1.000000 3
0.055117 0.218755 2
0.205925 0.968221 3
0.778446 0.000000 2
1.000000 0.771847 3
0.018488 0.767273 1
0.000000 0.217708 2
0.363952 1.000000 1
0.749862 0.098311 2
1.000000 0.980051 2
0.024752 0.603069 1
0.305352 0.247932 2
0.103647 1.000000 3
0.810068 0.122685 2
0.803375 1.000000 3
0.000000 0.677424 3
0.000000 0.355924 1
0.207141 0.962133 2
0.970170 0.189217 3
1.000000 0.814997 2
0.002038 0.864282 1
0.123415 0.397018 2
0.191765 0.710056 3
0.953677 0.000000 11
0.764933 0.848951 3
0.154460 0.896069 3
0.158035 0.389265 3
0.193477 0.810701 2
0.923530 0.081169 11
0.821437 0.896219 1
0.155791 0.883190 3
0.083941 0.351736 1
0.085921 1.000000 3
0.748531 0.000000 1
0.967891 0.775138 2
0.254810 1.000000 2
0.159170 0.270935 3
0.211760 1.000000 3
0.812914 0.214967 2
0.914710 0.969664 2
0.002273 0.846004 1
0.000000 0.355194 2
0.182733 1.000000 1
0.899708 0.346996 2
0.813577 0.897074 1
0.000000 0.751066 1
0.000000 0.431382 1
0.157719 0.949575 1
0.731689 0.206943 1
1.000000 1.000000 2
0.122926 1.000000 3
0.033196 0.220032 2
0.232930 0.895902 1
0.905796 0.042274 9
1.000000 0.909312 2
0.034341 0.684964 1
0.031963 0.462541 2
0.014093 0.978321 2
0.702186 0.037705 3
1.000000 0.888779 2
0.014929 1.000000 1
0.010399 0.425060 3
0.101018 1.000000 2
0.921311 0.328789 3
0.995376 0.963232 2
0.022979 1.000000 3
0.080868 0.328308 3
