n 250
m 1
tmax 16.000000
0.722741 0.675248 9
0.845291 0.454643 9
0.592602 1.000000 8
0.845375 0.935853 7
0.140441 0.308070 3
0.698255 0.696961 4
0.793618 0.402071 4
0.667212 0.863072 8
0.849794 0.958828 1
0.345332 0.391454 3
0.741137 0.716627 3
0.849669 0.504397 9
0.641595 0.901871 2
0.814471 1.000000 4
0.362225 0.342623 2
0.561344 0.682069 2
0.814699 0.451213 1
0.560438 0.971780 7
0.763349 0.960100 2
0.320019 0.378254 1
0.632842 0.762775 3
0.859234 0.467266 4
0.522059 0.935545 6
0.827535 1.000000 10
0.283038 0.474012 10
0.696483 0.667676 9
0.688447 0.353410 6
0.467370 0.840214 4
0.849408 0.922771 7
0.322287 0.248537 8
0.678357 0.700700 1
0.734398 0.483248 3
0.617785 0.952261 1
0.746836 1.000000 3
0.275047 0.249315 7
0.634618 0.686398 7
0.801294 0.370899 9
0.583717 0.878673 7
0.891866 1.000000 2
0.314061 0.227248 5
0.694503 0.729184 6
0.789757 0.383110 1
0.536263 0.934341 2
0.814808 0.941349 1
0.266148 0.288882 6
0.630389 0.710030 5
0.703857 0.412969 9
0.507530 0.968500 4
0.728327 0.863286 5
0.171026 0.284949 3
0.540748 0.599935 1
0.933109 0.489107 3
0.505640 0.969097 9
0.717023 1.000000 3
0.310441 0.312459 8
0.658635 0.611607 8
0.751012 0.370175 4
0.617284 0.955502 2
0.757670 1.000000 10
0.363355 0.376540 3
0.708986 0.716510 7
0.782887 0.380941 3
0.570234 0.891460 4
0.816640 0.933626 10
0.414593 0.422387 9
0.665700 0.680973 10
0.830115 0.473271 8
0.487129 0.945399 1
0.883110 0.961353 9
0.212176 0.386077 6
0.584691 0.741753 3
0.827772 0.431652 9
0.620165 0.953687 1
0.789768 0.976231 9
0.375989 0.425801 5
0.635571 0.648956 3
0.823453 0.453011 8
0.515751 0.919398 2
0.886945 0.940714 8
0.297286 0.258181 1
0.574024 0.748775 8
0.789444 0.496428 6
0.535353 0.972863 1
0.734165 0.941062 3
0.278204 0.304324 10
0.768295 0.660702 1
0.845019 0.320274 6
0.558191 1.000000 10
0.800770 0.864238 4
0.381835 0.335470 9
0.636202 0.660305 1
0.814965 0.521540 3
0.521277 0.999418 8
0.922119 0.900104 10
0.338348 0.402594 7
0.710373 0.751710 7
0.822261 0.380148 5
0.608885 0.957322 9
0.752899 0.853567 5
0.319129 0.341062 8
0.771579 0.731481 4
0.805359 0.433643 1
0.528401 0.979252 10
0.717276 0.948387 8
0.290557 0.217606 5
0.632370 0.774155 5
0.788622 0.525996 9
0.563678 0.894568 2
0.718921 0.962220 7
0.213390 0.417875 3
0.657808 0.675221 2
0.795574 0.466367 3
0.575806 0.925637 6
0.837711 0.958695 5
0.421177 0.324376 6
0.492471 0.771382 3
0.887075 0.528793 5
0.522221 1.000000 2
0.843426 0.949584 1
0.350577 0.284161 6
0.667311 0.663463 5
0.827536 0.495970 3
0.613554 1.000000 8
0.728506 0.975102 5
0.368416 0.277162 6
0.649754 0.608994 7
0.822397 0.498464 10
0.655164 0.905806 3
0.909032 0.905804 10
0.271545 0.208159 1
0.629175 0.840255 2
0.907815 0.414892 3
0.605635 0.942732 7
0.766214 0.933885 10
0.283240 0.354657 2
0.617667 0.656522 9
0.806088 0.403610 9
0.609121 0.839832 10
0.821703 0.987494 1
0.322937 0.418834 2
0.613465 0.735295 9
0.673981 0.410579 1
0.542638 0.941658 2
0.842110 1.000000 10
0.280253 0.403706 9
0.641861 0.632991 5
0.830422 0.489130 7
0.612658 0.900547 3
0.807100 0.944200 8
0.277349 0.350646 8
0.701726 0.758164 7
0.798883 0.453844 10
0.570543 0.936374 3
0.810696 1.000000 5
0.319854 0.174490 3
0.717155 0.729377 4
0.851580 0.536288 7
0.550195 0.911265 1
0.773655 0.923969 7
0.272444 0.262375 9
0.631703 0.561117 8
0.763714 0.430228 8
0.696411 0.855010 7
0.794887 0.890996 6
0.265040 0.392048 2
0.682185 0.814291 3
0.735627 0.474667 9
0.650208 0.847612 6
0.687813 0.969328 6
0.327325 0.355034 4
0.662833 0.690567 3
0.792845 0.424482 4
0.523707 0.933389 8
0.944420 1.000000 9
0.338731 0.381696 6
0.738306 0.593479 7
0.754591 0.455677 6
0.506699 1.000000 5
0.822598 0.960693 10
0.319847 0.299370 3
0.640889 0.743800 10
0.760550 0.400199 3
0.573794 0.920757 4
0.833763 0.962854 2
0.366659 0.276196 8
0.708310 0.662632 2
0.772666 0.432570 1
0.538765 0.951810 2
0.740369 0.981981 9
0.270132 0.310276 4
0.727691 0.677979 7
0.766649 0.522994 4
0.618930 0.975168 5
0.808081 0.872997 3
0.295959 0.320969 10
0.611304 0.621192 5
0.925759 0.345116 9
0.477960 0.915628 4
0.734079 0.972634 6
0.369083 0.257185 4
0.710641 0.711271 8
0.827702 0.542590 1
0.577512 0.925298 1
0.892936 0.900536 2
0.350987 0.393642 8
0.652210 0.719145 1
0.800773 0.418533 4
0.641329 0.812930 9
0.843615 0.895607 6
0.346351 0.260570 9
0.742708 0.716236 9
0.875150 0.485062 10
0.593515 0.909072 8
0.710765 0.965876 2
0.282297 0.210673 1
0.651199 0.708760 10
0.798013 0.390094 5
0.637912 0.919875 10
0.816543 0.968383 5
0.291232 0.131115 6
0.754342 0.727548 10
0.765256 0.436135 10
0.578804 0.902456 1
0.867955 0.929346 5
0.242130 0.315478 4
0.655937 0.742768 1
0.847917 0.457410 5
0.628428 0.886052 5
0.914876 0.970056 5
0.274790 0.383077 8
0.687133 0.861790 7
0.843063 0.452842 1
0.614799 0.850814 5
0.718944 1.000000 4
0.225569 0.334568 10
0.650317 0.787532 4
0.734547 0.469665 8
0.528123 0.871441 3
0.725902 0.915826 1
0.234918 0.363427 1
0.684243 0.720087 2
0.849135 0.409747 7
0.612601 0.856943 10
0.788781 0.946405 3
0.218798 0.321300 8
0.644864 0.713403 2
0.699255 0.391278 3
0.619881 0.924238 10
0.896447 1.000000 10
0.433424 0.234363 4
