n 200
m 1
tmax 20.000000
0.974466 0.499729 0
0.482263 0.257650 6
0.273766 0.834644 7
0.127718 0.718666 5
0.099121 0.398551 3
0.850455 0.699415 8
0.027876 0.080718 5
0.870619 0.175975 5
0.589912 0.276275 9
0.558474 0.208887 2
0.423675 0.035257 10
0.428232 0.972842 1
0.406318 0.705774 6
0.359870 0.270354 6
0.115364 0.884164 5
0.977786 0.094335 9
0.813094 0.731469 2
0.418474 0.941985 7
0.683181 0.314936 7
0.777095 0.835622 2
0.265136 0.794420 8
0.277075 0.403162 10
0.794605 0.726985 7
0.074514 0.928801 3
0.628522 0.849702 2
0.025181 0.247763 9
0.639719 0.827427 1
0.887670 0.822479 9
0.927694 0.761951 4
0.246080 0.212989 2
0.299083 0.207734 2
0.785423 0.106655 5
0.902740 0.685419 2
0.495379 0.101264 3
0.062426 0.702812 9
0.977147 0.381502 1
0.921599 0.339617 7
0.705865 0.236529 5
0.019314 0.746187 2
0.299164 0.511653 10
0.119117 0.895842 4
0.382326 0.269766 7
0.657916 0.232011 3
0.383412 0.849692 8
0.432466 0.174851 5
0.296021 0.712776 6
0.376202 0.242293 4
0.623567 0.005348 7
0.859010 0.932036 6
0.456010 0.560651 2
0.222665 0.926861 1
0.874438 0.027249 4
0.903752 0.995995 2
0.938251 0.466731 10
0.749298 0.742879 1
0.076261 0.799546 9
0.632800 0.446600 7
0.245074 0.100087 6
0.894868 0.875845 8
0.986869 0.032091 3
0.091042 0.901368 3
0.170907 0.608080 1
0.772729 0.944369 4
0.756664 0.433324 5
0.099106 0.084088 10
0.009417 0.509810 9
0.179212 0.196675 2
0.883130 0.737847 8
0.676840 0.771333 10
0.454668 0.078020 9
0.383183 0.432092 10
0.781734 0.371356 10
0.406350 0.168321 5
0.276490 0.293280 4
0.482120 0.040906 7
0.621515 0.875385 7
0.811167 0.680306 1
0.987307 0.071500 8
0.032436 0.019980 7
0.836913 0.993331 8
0.481269 0.116914 10
0.094198 0.240897 2
0.230257 0.126181 9
0.239440 0.455428 10
0.976820 0.066557 5
0.315038 0.851324 3
0.142837 0.349701 9
0.808332 0.802826 5
0.595595 0.172076 2
0.875627 0.841642 5
0.809969 0.154796 6
0.727263 0.333049 6
0.855666 0.802601 8
0.299652 0.517459 3
0.875134 0.309711 3
0.806505 0.276310 2
0.022219 0.012598 8
0.371902 0.953130 6
0.935822 0.216337 9
0.135263 0.922194 10
0.298729 0.440325 3
0.027470 0.541625 10
0.087164 0.740145 1
0.369560 0.608323 10
0.145463 0.354022 7
0.276331 0.233125 9
0.162998 0.566654 6
0.930103 0.222829 6
0.182513 0.759369 4
0.547922 0.000935 7
0.630905 0.820565 1
0.158308 0.510713 9
0.835469 0.714466 6
0.866089 0.596970 3
0.489519 0.095879 2
0.030952 0.684356 5
0.683616 0.912242 4
0.247589 0.738045 7
0.372184 0.292984 10
0.261626 0.192395 5
0.510546 0.081618 5
0.637782 0.782611 1
0.373768 0.424928 7
0.527756 0.310703 10
0.966976 0.814468 2
0.568190 0.883634 2
0.111632 0.785503 8
0.059083 0.474021 1
0.621198 0.285299 8
0.493898 0.899816 3
0.241485 0.050497 6
0.074137 0.317262 1
0.074134 0.622006 8
0.931208 0.363590 8
0.117358 0.806397 9
0.699180 0.737445 9
0.672352 0.154033 5
0.729749 0.057982 9
0.935050 0.419832 5
0.614953 0.125104 3
0.778868 0.416423 9
0.941396 0.030343 1
0.483999 0.042342 9
0.866719 0.347513 9
0.237642 0.641691 5
0.754278 0.520408 9
0.975639 0.330200 5
0.352659 0.729717 2
0.913945 0.691753 10
0.752496 0.626744 6
0.828341 0.243755 2
0.221181 0.829892 2
0.732041 0.228439 1
0.292537 0.409648 3
0.705745 0.860942 8
0.565309 0.011030 3
0.721106 0.214024 6
0.544126 0.650962 1
0.868703 0.326505 7
0.128553 0.279985 7
0.059035 0.546532 3
0.747397 0.856866 8
0.769039 0.651636 1
0.337589 0.424010 4
0.617653 0.424309 2
0.187932 0.481335 5
0.542782 0.295608 10
0.582162 0.018393 5
0.654161 0.401343 10
0.278124 0.612704 10
0.088677 0.954099 1
0.820572 0.868630 6
0.792638 0.751803 3
0.053764 0.362705 8
0.847604 0.065117 9
0.416300 0.865822 8
0.786307 0.212618 3
0.046472 0.039010 1
0.032790 0.689876 8
0.486955 0.560114 2
0.966572 0.439957 5
0.715697 0.735521 2
0.745645 0.671090 8
0.192558 0.224914 10
0.254133 0.432940 9
0.640938 0.439647 7
0.480126 0.633501 4
0.456653 0.647533 7
0.245260 0.918607 9
0.022340 0.231750 3
0.109173 0.032199 5
0.961064 0.969182 2
0.030592 0.689689 4
0.345819 0.501715 10
0.489924 0.623226 2
0.256936 0.562066 9
0.280375 0.425337 10
0.524646 0.679886 6
0.620991 0.316164 7
0.490227 0.873711 6
